sta_id,sta_time,sta_ph_v,sta_ph_l,sta_do_v,sta_do_l,sta_an_v,sta_an_l,sta_toc_v,sta_toc_l,sta_pp_v,sta_pp_l
73,2015-01-01 00:00:00,7,¢Ò,9,¢Ò,1,¢Ò,9999,-,0,¢Ú
80,2015-01-01 00:00:00,7,¢Ò,8,¢Ò,1,¢Ò,9999,-,0,¢Ú
5,2015-01-01 00:00:00,8,¢Ò,9,¢Ò,2,¢Ú,9999,-,0,¢Ú
152,2015-01-01 00:00:00,8,¢Ò,6,¢Ú,4,¢Û,5,-,0,¢Ò
154,2015-01-01 00:00:00,7,¢Ò,13,¢Ò,2,¢Ú,2,-,0,¢Ú
155,2015-01-01 00:00:00,8,¢Ò,4,¢Ù,7,¢Ù,14,-,0,¢Û
156,2015-01-01 00:00:00,7,¢Ò,6,¢Ú,4,¢Û,8,-,0,¢Û
65,2015-01-01 00:00:00,7,¢Ò,10,¢Ò,2,¢Ú,9999,-,0,¢Ú
76,2015-01-01 00:00:00,7,¢Ò,8,¢Ò,2,¢Ú,9999,-,0,¢Ú
64,2015-01-01 00:00:00,8,¢Ò,10,¢Ò,1,¢Ò,0,-,0,¢Ò
149,2015-01-01 00:00:00,7,¢Ò,12,¢Ò,3,¢Ú,3,-,0,¢Û
157,2015-01-01 00:00:00,8,¢Ò,9,¢Ò,2,¢Ú,3,-,0,¢Ò
72,2015-01-01 00:00:00,8,¢Ò,10,¢Ò,1,¢Ò,2,-,0,¢Ò
78,2015-01-01 00:00:00,7,¢Ò,8,¢Ò,3,¢Ú,4,-,0,¢Ú
147,2015-01-01 00:00:00,8,¢Ò,13,¢Ò,2,¢Ú,3,-,0,¢Ú
57,2015-01-01 00:00:00,7,¢Ò,7,¢Ò,5,¢Û,22,-,1,¢Ù
186,2015-01-01 00:00:00,7,¢Ò,7,¢Ú,1,¢Ò,9999,-,-1,-
158,2015-01-01 00:00:00,8,¢Ò,13,¢Ò,1,¢Ò,0,-,0,¢Ò
77,2015-01-01 00:00:00,7,¢Ò,12,¢Ò,4,¢Û,9999,-,0,¢Ò
185,2015-01-01 00:00:00,7,¢Ò,6,¢Ú,10,¢ı,9999,-,-1,-
184,2015-01-01 00:00:00,7,¢Ò,16,¢Ò,0,¢Ò,9999,-,0,¢Ú
81,2015-01-01 00:00:00,7,¢Ò,9,¢Ò,1,¢Ò,9999,-,0,¢Ú
75,2015-01-01 00:00:00,8,¢Ò,9,¢Ò,1,¢Ò,9999,-,0,¢Ò
8,2015-01-01 00:00:00,7,¢Ò,12,¢Ò,5,¢Û,9999,-,0,¢Ú
216,2015-01-01 00:00:00,8,¢Ò,9,¢Ò,0,¢Ò,1,-,0,¢Ò
137,2015-01-01 00:00:00,7,¢Ò,10,¢Ò,1,¢Ò,9999,-,0,¢Ò
103,2015-01-01 00:00:00,7,¢Ò,9,¢Ò,-1,-,9999,-,0,¢Ú
97,2015-01-01 00:00:00,7,¢Ò,6,¢Ú,6,¢Ù,5,-,0,¢Û
32,2015-01-01 00:00:00,7,¢Ò,8,¢Ò,5,¢Û,9999,-,0,¢Û
173,2015-01-01 00:00:00,8,¢Ò,12,¢Ò,5,¢Û,9999,-,1,¢Ù
121,2015-01-01 00:00:00,7,¢Ò,9,¢Ò,2,¢Ú,9999,-,0,¢Û
118,2015-01-01 00:00:00,7,¢Ò,9,¢Ò,2,¢Ú,9999,-,0,¢Ò
107,2015-01-01 00:00:00,7,¢Ò,11,¢Ò,2,¢Ú,9999,-,0,¢Ú
85,2015-01-01 00:00:00,8,¢Ò,12,¢Ò,2,¢Ú,9999,-,0,¢Ú
83,2015-01-01 00:00:00,7,¢Ò,10,¢Ò,2,¢Ú,9999,-,0,¢Û
214,2015-01-01 00:00:00,7,¢Ò,6,¢Ú,0,¢Ò,0,-,-1,-
197,2015-01-01 00:00:00,8,¢Ò,8,¢Ò,2,¢Ú,9999,-,0,¢Ò
193,2015-01-01 00:00:00,7,¢Ò,10,¢Ò,2,¢Ú,9999,-,0,¢Û
177,2015-01-01 00:00:00,8,¢Ò,6,¢Ú,2,¢Ú,9999,-,0,¢Ò
175,2015-01-01 00:00:00,7,¢Ò,9,¢Ò,-1,-,9999,-,0,¢Û
164,2015-01-01 00:00:00,8,¢Ò,12,¢Ò,4,¢Û,7,-,0,¢Ú
146,2015-01-01 00:00:00,7,¢Ò,8,¢Ò,1,¢Ò,3,-,0,¢Ú
213,2015-01-01 00:00:00,7,¢Ò,5,¢Û,6,¢Ù,7,-,0,¢Ú
212,2015-01-01 00:00:00,8,¢Ò,10,¢Ò,12,¢ı,12,-,0,¢Ú
211,2015-01-01 00:00:00,8,¢Ò,10,¢Ò,2,¢Ú,1,-,-1,-
210,2015-01-01 00:00:00,8,¢Ò,8,¢Ò,8,¢Ù,14,-,0,¢Û
209,2015-01-01 00:00:00,8,¢Ò,9,¢Ò,15,¡”¢ı,13,-,0,¢Ú
